Association_ID,vVirusNameCorrected,hHostNameFinal,Previous_ID,WildDomInReference,DetectionMethod,DetectionQuality02,FINAL_ref,Mendeley_Endnote,input_date
F1083,Primate_T-lymphotropic_virus_1,Macaca_nigra,MP1041,wild,Antibodies,0,Ishikawa et al. 1987 ,M,v30
F1084,Primate_T-lymphotropic_virus_1,Macaca_ochreata,MP1043,wild,Antibodies,0,Ishikawa et al. 1987 ,M,v30
F62,Cercopithecine_herpesvirus_1,Macaca_radiata,V537,wild,Isolation,2,Huff et al. 2003,E,v30
F731,Kyasanur_Forest_disease_virus,Macaca_radiata,NW588,wild,Isolation,2,Sreenivasan et al. 1986,M,v30
F1661,Measles_virus,Macaca_radiata,MP704,wild,Antibodies,0,Bhatt et al. 1966,M,v30
F1110,Simian_virus_5,Macaca_radiata,MP742,wild,Antibodies,0,Bhatt et al. 1966,M,v30
F1510,Yaba_monkey_tumor_virus,Macaca_radiata,NA,wild,Antibodies,0,Downie 1974,E,v30
F975,Simian_foamy_virus,Macaca_silenus,NW860,wild,PCR,2,Hussain et al. 2003,M,v30
F1045,Bunyamwera_virus,Macaca_sinica,MP67,wild,Antibodies,0,Peiris et al. 1993,M,v30
F1477,Dengue_virus,Macaca_sinica,MP230,wild,Antibodies,0,Peiris et al. 1993,arw,arw
F1120,West_Nile_virus,Macaca_sinica,MP250,wild,Antibodies,0,Peiris et al. 1993,M,v30
F319,Encephalomyocarditis_virus,Macaca_sylvanus,NW324,wild,Antibodies,0,Canelli et al. 2010,M,v30
F1567,Simian_foamy_virus,Macaca_sylvanus,NA,wild,PCR,2,Hussain et al. 2003,E,v30
F1108,Simian_virus_40,Macaca_sylvanus,MP888,wild,Antibodies,0,Verschoor et al. 2008,M,v30
F1085,Primate_T-lymphotropic_virus_1,Macaca_tonkeana,MP1044,wild,Antibodies,0,Ishikawa et al. 1987,M,v30
F1150,Carey_Island_virus,Macroglossus_minimus,L289,wild,Isolation,2,Calisher et al. 2006,M,v30
F684,Eubenangee_virus,Macropus_agilis,NW364,wild,Isolation,2,Staker 2006,M,v30
KJO014,Murray_Valley_encephalitis_virus,Macropus_agilis,KJO014,wild,Antibodies,0,Gonzalez et al. 2007 ,E,v30
KJO009,Ross_River_virus,Macropus_agilis,KJO009,wild,Isolation,2,Brooks et al. 2002,M,v30
KJO010,Sindbis_virus,Macropus_agilis,KJO010,wild,Antibodies,0,Tu et al. 2004,M,v30
LM166,Trubanaman_virus,Macropus_fuliginosus,LM166,wild,Antibodies,0,Johansen et al. 2005,E,v30
KJO126,Wallal_virus,Macropus_fuliginosus,,wild,PCR,2,"Hooper et al 1999, Aust Vet J",kjo,v30
KJO371,Warrego_virus,Macropus_fuliginosus,,wild,Isolation,2,"Hooper PT, Lunt RA, Gould AR, Hyatt AD, Russell GM, Kattenbelt JA, Blacksell SD, Reddacliff LA, Kirkland PD, Davis RJ, Durham PJ, Bishop AL, Waddington J. Epidemic of blindness in kangaroos--evidence of a viral aetiology. Aust Vet J. 1999 Aug;77(8):529-36. PubMed PMID: 10494400.",kjo,v30
KJO141,Foot-and-mouth_disease_virus,Macropus_giganteus,,wild,Isolation,2,Weaver et al. 2013,kjo,arw
LM041,Gan_Gan_virus,Macropus_giganteus,LM041,wild,Antibodies,0,Vale et al. 1991,E,v30
KJO398,Macropodid_herpesvirus_1,Macropus_giganteus,,wild,Isolation,2,"Guliani S, Smith GA, Young PL, Mattick JS, Mahony TJ. Reactivation of a macropodid herpesvirus from the eastern grey kangaroo (Macropus giganteus) following corticosteroid treatment. Vet Microbiol. 1999 Aug 16;68(1-2):59-69. PubMed PMID: 10501162.",kjo,v30
KJO399,Macropodid_herpesvirus_2,Macropus_giganteus,,wild,Isolation,2,"Vaz PK, Motha J, McCowan C, Ficorilli N, Whiteley PL, Wilks CR, Hartley CA, Gilkerson JR, Browning GF, Devlin JM. Isolation and characterization of a novel herpesvirus from a free-ranging eastern grey kangaroo (macropus giganteus). J Wildl Dis. 2013 Jan;49(1):143-51. doi: 10.7589/2012-01-027. PubMed PMID: 23307380.",kjo,v30
KJO016,Murray_Valley_encephalitis_virus,Macropus_giganteus,KJO016,wild,Antibodies,0,Levy 1993,NA,v30
KJO011,Sindbis_virus,Macropus_giganteus,KJO011,wild,Antibodies,0,Gonzalez et al. 2007 ,E,v30
KJO127,Wallal_virus,Macropus_giganteus,,wild,PCR,2,"Hooper et al 1999, Aust Vet J",kjo,v30
KJO372,Warrego_virus,Macropus_giganteus,,wild,Isolation,2,"Hooper PT, Lunt RA, Gould AR, Hyatt AD, Russell GM, Kattenbelt JA, Blacksell SD, Reddacliff LA, Kirkland PD, Davis RJ, Durham PJ, Bishop AL, Waddington J. Epidemic of blindness in kangaroos--evidence of a viral aetiology. Aust Vet J. 1999 Aug;77(8):529-36. PubMed PMID: 10494400.",kjo,v30
KJO397,Macropodid_herpesvirus_1,Macropus_parma,,wild,Isolation,2,"Johnson MA, Whalley JM, Littlejohns IR, Dickson J, Smith VW, Wilks CR, Reisner AH. Macropodid herpesviruses 1 and 2: two herpesviruses from Australian marsupials differentiated by restriction endonucleases, DNA composition and hybridization. Brief report. Arch Virol. 1985;85(3-4):313-9. PubMed PMID: 2992421.",kjo,v30
F489,Ross_River_virus,Macropus_robustus,NW799,wild,Antibodies,0,Old et al. 2005,M,v30
KJO128,Wallal_virus,Macropus_robustus,,wild,PCR,2,"Hooper et al 1999, Aust Vet J",kjo,v30
LM042,Gan_Gan_virus,Macropus_rufogriseus,LM042,wild,Antibodies,0,Vale et al. 1991,E,v30
KJO129,Wallal_virus,Macropus_rufus,,wild,PCR,2,"Hooper et al 1999, Aust Vet J",kjo,v30
KJO373,Warrego_virus,Macropus_rufus,,wild,Isolation,2,"Hooper PT, Lunt RA, Gould AR, Hyatt AD, Russell GM, Kattenbelt JA, Blacksell SD, Reddacliff LA, Kirkland PD, Davis RJ, Durham PJ, Bishop AL, Waddington J. Epidemic of blindness in kangaroos--evidence of a viral aetiology. Aust Vet J. 1999 Aug;77(8):529-36. PubMed PMID: 10494400.",kjo,v30
Luis294,Rabies_virus,Macrotus_californicus,,wild,Isolation,2,[421],,arw
F96,Kyasanur_Forest_disease_virus,Madromys_blanfordi,V1168,wild,Isolation,2,Williams et al. 2001,M,v30
,Human_enterovirus_D,Mandrillus_leucophaeus,,wild*,Antibodies,0,Harvala et al. 2012,arw,arw
F1557,Simian_foamy_virus,Mandrillus_leucophaeus,NA,wild,PCR,2,Hussain et al. 2003,E,v30
F1582,Simian_immunodeficiency_virus,Mandrillus_leucophaeus,NA,wild,Isolation,2,Hu et al. 2003,E,v30
,Human_enterovirus_B,Mandrillus_sphinx,,wild,PCR,2,Van Nguyen et al. 2014,arw,arw
F1556,Simian_foamy_virus,Mandrillus_sphinx,NA,wild,PCR,2,Hussain et al. 2003,E,v30
F1583,Simian_immunodeficiency_virus,Mandrillus_sphinx,NA,wild,Isolation,2,Hu et al. 2003,E,v30
,O'nyong-nyong_virus,Mandrillus_sphinx ,,wild,plaque reduction neutralization,1,"Kading et al. 2012, JWD",,kjo
KJO1000,Oriboca_virus,Marmosa_murina,,wild,Isolation,2," Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla.",kjo,v30
,Colorado_tick_fever_virus,Marmota_flaviventris,,wild,Antibodies,0,Eklund et al. 1958,arw,arw
,Powassan_virus,Marmota_flaviventris,,wild,Antibodies,0,McLean et al. 1970 AMJE,,kjo
F540,St._Louis_encephalitis_virus,Marmota_flaviventris,NW917,wild,Antibodies,0,McClean et al. 1968,E,v30
Luis095,Eastern_equine_encephalitis_virus,Marmota_monax,,wild,Antibodies,0,Karstad et al. 1960,,arw
Luis212,Marmodid_herpesvirus_1,Marmota_monax,,wild,Isolation,2,Buchen-Osmond 2003,,v30
Luis268,Powassan_virus,Marmota_monax,,wild,Isolation,2,[224],,v30
Luis295,Rabies_virus,Marmota_monax,,wild,Isolation,2,[234],,arw
Luis432,Woodchuck_hepatitis_virus,Marmota_monax,,wild,"EM, DNA (i.e. more than just PCR)",2,Summers et al. 1978,,v30
LM038,European_bat_lyssavirus_1,Martes_foina,LM038,wild,Antibodies,0,Muller et al. 2004,E,v30
F216,Canine_adenovirus,Martes_pennanti,NW185,wild,Antibodies,0,Philippa 2004,M,v30
KJO396,Mustelid_herpesvirus_1,Martes_pennanti,,captive,PCR,2,"Gagnon CA, Tremblay J, Larochelle D, Music N, Tremblay D. Identification of a novel herpesvirus associated with cutaneous ulcers in a fisher (Martes pennanti). J Vet Diagn Invest. 2011 Sep;23(5):986-90. doi: 10.1177/1040638711418615. PubMed PMID: 21908360.",kjo,v30
F1537,Rabies_virus,Martes_pennanti,NA,wild,Antibodies,0,Philippa et al. 2004,M,v30
F248,Crimean-Congo_hemorrhagic_fever_virus,Mastomys_coucha,NW242,wild,Antibodies,0,Shepherd et al. 1987,M,v30
Luis182,Koutango_virus,Mastomys_erythroleucus,,wild,Isolation,2,Traore-Lamizana et al. 2001,,kjo
F1486,Lassa_virus,Mastomys_erythroleucus,NA,wild,Isolation,2,Gonzalez et al. 2007 ,E,v30
F1484,Mobala_virus,Mastomys_erythroleucus,NA,wild,Isolation,2,Gonzalez et al. 2007 ,E,v30
KJO006,Qalyub_virus,Mastomys_erythroleucus,KJO006,wild,Isolation,2,Rodhain et al. 1985,M,kjo
F487,Rift_Valley_fever_virus,Mastomys_erythroleucus,NW788,wild,Antibodies,0,Gora et al. 2000,M,v30
F1485,Lassa_virus,Mastomys_huberti,NA,wild,Isolation,2,Gonzalez et al. 2007 ,E,v30
F1503,Mopeia_virus,Mastomys_huberti,NA,wild,Isolation,2,Gonzalez et al. 2007 ,E,v30
F1545,Rift_Valley_fever_virus,Mastomys_huberti,NA,wild,Antibodies,0,Gora et al. 2000,M,v30
Luis024,Banzi_virus,Mastomys_natalensis,,wild,Isolation,2,McIntosh 1976,arw,arw
Luis030,Bluetongue_virus,Mastomys_natalensis,,wild,Isolation,2,[49],,v30
F227,Chikungunya_virus,Mastomys_natalensis,NW209,wild,Antibodies,0,"Konstantinov et al. 2006 The mammals of Guinea as reservoirs and carriers of arboviruses, Meditsinskaya Parazitologiya i Parazitarnye Bolezni, 1 34-39 Full Text Unavailable",NA,v30
F298,Dugbe_virus,Mastomys_natalensis,NW294,wild,Antibodies,0,Konstantinov et al. 2006 ,NA,v30
F925,Lassa_virus,Mastomys_natalensis,NW606,wild,PCR,2,Fichet-Calvet et al. 2007 ,M,v30
KJO426,Mastomys_natalensis_papillomavirus,Mastomys_natalensis,,captive,Isolation,2,"M_ller H, Gissmann L. Mastomys natalensis papilloma virus (MnPV), the causative agent of epithelial proliferations: characterization of the virus particle. J Gen Virol. 1978 Nov;41(2):315-23. PubMed PMID: 214519.",kjo,v30
KJO054,Mopeia_virus,Mastomys_natalensis,KJO054,wild,Isolation,2,Wulff et al. 1977,E,v30
Luis278,Qalyub_virus,Mastomys_natalensis,,wild,Isolation,2,[35],,v30
Luis375,Uganda_S_virus,Mastomys_natalensis,,wild,Isolation,2,Kemp 1975; Kemp et al. 1974,,v30
Luis430,Witwatersrand_virus,Mastomys_natalensis,,wild,Antibodies,0,McIntosh et al. 1976,arw,arw
KJO438,Bovine_respiratory_syncytial_virus,Mazama_gouazoubira,,wild,Antibodies,0,"Deem SL, Noss AJ, Villarroel R, Uhart MM, Karesh WB. Disease survey of free-ranging grey brocket deer (Mazama gouazoubira) in the Gran Chaco, Bolivia. J Wildl Dis. 2004 Jan;40(1):92-8. PubMed PMID: 15137493.",kjo,v30
F1653,Influenza_A_virus,Megaderma_lyra,L511,wild,Antibodies,0,Kelkar et al. 1981,M,v30
,Amapari_virus,Megadontomys_nelsoni,,wild,Antibodies,0,Milazzo et al. 2010,arw,arw
Luis406,Whitewater_Arroyo_virus,Megadontomys_nelsoni,,wild,Antibodies,0,Milazzo et al. 2010,,v30
Luis381,Venezuelan_equine_encephalitis_virus,Melanomys_caliginosus,,wild,Antibodies,0,Acha & Szyfres 2003; Grayson & Galido 1968,,v30
KJO395,Mustelid_herpesvirus_1,Meles_meles,,wild,PCR,2,"King DR, Mutukwa N, Lesellier S, Cheeseman C, Chambers MA, Banks M. Detection of mustelid herpesvirus-1 infected European badgers (Meles meles) in the British Isles. J Wildl Dis. 2004 Jan;40(1):99-102. PubMed PMID: 15137494.",kjo,v30
F1425,Rabies_virus,Mellivora_capensis,NW757,wild,Isolation,2,Bingham et al. 2001,arw,arw
F72,Severe_acute_respiratory_syndrome-related_coronavirus,Melogale_moschata,V1578,wild,Antibodies,0,Tu et al. 2004,M,v30
F920,Influenza_A_virus,Mephitis_mephitis,NW552,wild,PCR,2,Britton et al. 2010,E,v30
F953,Rabies_virus,Mephitis_mephitis,NW766,wild,PCR,2,Nadin-Davies et al. 1994,NA,v30
F541,St._Louis_encephalitis_virus,Mephitis_mephitis,NW918,wild,Antibodies,0,Artsob et al. 1986,NA,v30
OIE78,Vesicular_stomatitis_Indiana_virus,Mephitis_mephitis,,wild,plaque reduction neutralization,1,Aguirre et al. 1992,OIE,v30
OIE96,Western_equine_encephalitis_virus,Mephitis_mephitis,,wild,hemmaglutination,0,Hardy 1987,OIE,v30
KJO110,Bakau_virus,Meriones_hurrianae,,wild,Antibodies,0,Darwish et al. 1983,M,v30
F279,Crimean-Congo_hemorrhagic_fever_virus,Meriones_hurrianae,NW270,domestic,Antibodies,0,Darwish et al. 1983,M,v30
F288,Dera_Ghazi_Khan_virus,Meriones_hurrianae,NW282,domestic,Antibodies,0,Darwish et al. 1983,M,v30
KJO114,Dhori_virus,Meriones_hurrianae,,wild,Antibodies,0,Darwish et al. 1983,M,v30
KJO115,Salehabad_virus,Meriones_hurrianae,,wild,Antibodies,0,"Darwish et al. 1983, RSTMH 77:4",kjo,v30
KJO121,Wad_Medani_virus,Meriones_hurrianae,,wild,Antibodies,0,"Darwish et al. 1983, RSTMH 77:4",kjo,v30
Luis072,Cowpox_virus,Meriones_libycus,,wild,Isolation,2,Tsanava et al. 1989,arw,arw
Luis079,Cricetid_herpesvirus,Mesocricetus_auratus,,wild,Isolation,2,Tomita & Jonas 1968 in Mahy 2008,arw,arw
LM240,Hamster_oral_papillomavirus,Mesocricetus_auratus,,captive,PCR,2,"Iwasaki T, Maeda H, Kameyama Y, Moriyama M, Kanai S, Kurata T. Presence of a novel hamster oral papillomavirus in dysplastic lesions of hamster lingual mucosa induced by application of dimethylbenzanthracene and excisional wounding: molecular cloning and complete nucleotide sequence. J Gen Virol. 1997 May;78 ( Pt 5):1087-93. PubMed PMID: 9152427.",LM,v30
Luis131,Hamster_parvovirus,Mesocricetus_auratus,,wild,Isolation,2,Besselsen et al. 1999,,v30
KJO347,Hamster_polyomavirus,Mesocricetus_auratus,,domestic,PCR,2,"Simmons JH, Riley LK, Franklin CL, Besch-Williford CL. Hamster polyomavirus infection in a pet Syrian hamster (Mesocricetus auratus). Vet Pathol. 2001 Jul;38(4):441-6. PubMed PMID: 11467479.",kjo,v30
Luis199,Lymphocytic_choriomeningitis_virus,Mesocricetus_auratus,,captive,Isolation,2,"[6, Parker et al. 1976",,kjo
F98,Minatitlan_virus,Mesocricetus_auratus,V1249,domestic,Isolation,2,"Mahy, BJ The Dictionary of Virology,  Academic Press 2009",B,v30
F742,Mobala_virus,Mesocricetus_auratus,NW643,wild,Isolation,2,Gonzalez et al. 2007 ,E,v30
Luis335,Sendai_virus,Mesocricetus_auratus,,captive,Isolation,2,Profeta et al. 1969,arw,arw
KJO1001,Oriboca_virus,Metachirus_nudicaudatus,,wild,Isolation,2," Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla.",kjo,v30
OIE142,Vesicular_stomatitis_Indiana_virus,Metachirus_nudicaudatus,,wild,plaque reduction neutralization,1,Tesh et al. 1969,OIE,v30
F1658,Mayaro_virus,Mico_leucippe,MP1313,wild,Antibodies,0,Hoch et al. 1981,M,v30
F1123,Yellow_fever_virus,Mico_leucippe,MP348,wild,Antibodies,0,Hoch et al. 1981,M,v30
Luis200,Lymphocytic_choriomeningitis_virus,Micromys_minutus,,wild,Antibodies,0,Tagliapietra et al. 2009,,kjo
Luis451,Rabies_virus,Micronycteris_megalotis,,wild,Antibodies,0,[384],,v30
F1213,Lagos_bat_virus,Micropteropus_pusillus,L615,wild,Isolation,2,Calisher et al. 2006,M,v30
F14,Rift_Valley_fever_virus,Micropteropus_pusillus,V1521,wild,Isolation,2,Calisher et al. 2006,M,v30
F1353,Zaire_ebolavirus,Micropteropus_pusillus,L1221,wild,PCR,2,Leroy et al. 2004 ,E,v30
Luis482,Cowpox_virus,Microtus_agrestis,,wild,PCR,2,Acha & Szyfres 2003; Tryland et al. 1998,,v30
Luis110,Ectromelia_virus,Microtus_agrestis,,wild,Antibodies,0,Kaplan et al. 1980,arw,arw
Luis113,Encephalomyocarditis_virus,Microtus_agrestis,,wild,Antibodies,0,Kaplan et al. 1980,arw,arw
,Ljungan_virus,Microtus_agrestis,,wild,PCR,2,Salisbury AM et al. 2014,,kjo
Luis201,Lymphocytic_choriomeningitis_virus,Microtus_agrestis,,wild,Antibodies,0,Kaplan et al. 1980,,v30
Luis243,Murid_herpesvirus_4,Microtus_agrestis,,wild,PCR,2,Ehlers et al. 2007,arw,v30
Luis254,Murine_pneumonia_virus,Microtus_agrestis,,wild,Antibodies,0,Kaplan et al. 1980,,v30
Luis336,Sendai_virus,Microtus_agrestis,,wild,Antibodies,0,Kaplan et al. 1980,arw,arw
Luis365,Tick-borne_encephalitis_virus,Microtus_agrestis,,wild,PCR,2,Achazi et al. 2011,,v30
Luis371,Tula_virus,Microtus_agrestis,,wild,PCR ,2,Schmidt-Chanasit et al. 2009,,v30
Luis044,California_encephalitis_virus,Microtus_arvalis,,wild,Antibodies,0,Mitchell et al. 1993,arw,arw
Luis114,Encephalomyocarditis_virus,Microtus_arvalis,,wild,Antibodies,0,Billinis 2009,arw,arw
Luis202,Lymphocytic_choriomeningitis_virus,Microtus_arvalis,,wild,Antibodies,0,Tagliapietra et al. 2009,,kjo
Luis231,Murid_herpesvirus_1,Microtus_arvalis,,wild,Antibodies,0,Mistrikova & Blaskovis 1985,,v30
Luis366,Tick-borne_encephalitis_virus,Microtus_arvalis,,wild,PCR,2,Kozuch et al. 1990; Achazi et al. 201,,v30
KJO185,Tula_virus,Microtus_arvalis,,wild,PCR,2,"Schlegel M, Kindler E, Essbauer SS, Wolf R, Thiel J, Groschup MH, Heckel G, Oehme RM, Ulrich RG. Tula virus infections in the Eurasian water vole in Central Europe. Vector Borne Zoonotic Dis. 2012 Jun;12(6):503-13. doi: 10.1089/vbz.2011.0784. Epub 2012 Jan 6. PubMed PMID: 22225425.",kjo,v30
Luis058,Colorado_tick_fever_virus,Microtus_californicus,,wild,Antibodies,0,"Emmons, 1994",arw,arw
KJO161,Isla_Vista_virus,Microtus_californicus,,wild,PCR,2,Song et al. 1995,kjo,v30
KJO243,Prospect_Hill_virus,Microtus_californicus,,wild,Antibodies,0,"Yanagihara R, Daum CA, Lee PW, Baek LJ, Amyx HL, Gajdusek DC, Gibbs CJ Jr. Serological survey of Prospect Hill virus infection in indigenous wild rodents in the USA. Trans R Soc Trop Med Hyg. 1987;81(1):42-5. PubMed PMID: 2895510.",kjo,v30
KJO250,Sin_Nombre_virus,Microtus_californicus,,wild,Antibodies,0,"Bennett SG, Webb JP Jr, Madon MB, Childs JE, Ksiazek TG, Torrez-Martinez N, Hjelle B. Hantavirus (Bunyaviridae) infections in rodents from Orange and San Diego counties, California. Am J Trop Med Hyg. 1999 Jan;60(1):75-84. PubMed PMID: 9988327.",kjo,v30
F1593,St._Louis_encephalitis_virus,Microtus_californicus,NA,wild,Antibodies,0,Hardy et al. 1974,M,v30
KJO365,Volepox_virus,Microtus_californicus,,wild,Isolation,2,Regnery DC (1987) Isolation and partial characterization of an orthopoxvirus from a California vole (Microtus californicus). Archieves of Virology 94: 159_162. ,kjo,v30
KJO162,Khabarovsk_virus,Microtus_fortis,,wild,Isolation,2,"H_rling J, Chizhikov V, Lundkvist A, Jonsson M, Ivanov L, Dekonenko A, Niklasson B, Dzagurova T, Peters CJ, Tkachenko E, Nichol S. Khabarovsk virus: a phylogenetically and serologically distinct hantavirus isolated from Microtus fortis trapped in far-east Russia. J Gen Virol. 1996 Apr;77 ( Pt 4):687-94. PubMed PMID: 8627257.",kjo,v30
KJO248,Seoul_virus,Microtus_fortis,,wild,PCR,2,"Weng JQ, Xie RH, Yao PP, Li MH, Xu F, Lu YY, Zhu HP, Cui QR, Zhu ZY. [Molecular characterization of hantavirus Zhejiang isolate ZT10 strain from M. fartis]. Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi. 2008 Feb;22(1):2-5. Chinese. PubMed PMID: 18414685.",kjo,v30
Luis045,California_encephalitis_virus,Microtus_gregalis,,wild,Antibodies,0,Mitchell et al. 1993,arw,arw
Luis446,Omsk_hemorrhagic_fever_virus,Microtus_gregalis,,wild,Isolation,2,[34],,v30
Luis203,Lymphocytic_choriomeningitis_virus,Microtus_levis,,wild,Antibodies,0,Tagliapietra et al. 2009,,kjo
KJO186,Tula_virus,Microtus_levis,,wild,PCR,2,"Schlegel M, Kindler E, Essbauer SS, Wolf R, Thiel J, Groschup MH, Heckel G, Oehme RM, Ulrich RG. Tula virus infections in the Eurasian water vole in Central Europe. Vector Borne Zoonotic Dis. 2012 Jun;12(6):503-13. doi: 10.1089/vbz.2011.0784. Epub 2012 Jan 6. PubMed PMID: 22225425.",kjo,v30
KJO229,Khabarovsk_virus,Microtus_maximowiczii,,wild,PCR,2,"Cong ML, Guo WP, Wang JB, Wang W, Zhou RH, Li MH, Zhang JN, Zhang YZ. [Genetic characteristics of hantaviruses carried by Microtus maximowixzii in Yakeshi of Inner Mongolia, China]. Zhonghua Liu Xing Bing Xue Za Zhi. 2012 Aug;33(8):832-5. Chinese. PubMed PMID: 22967339.",kjo,v30
F510,Sin_Nombre_virus,Microtus_ochrogaster,NW881,wild,Antibodies,0,Torres-Perez 2010,M,v30
F161,Borna_disease_virus,Microtus_oeconomus,NW125,wild,Antibodies,0,Kinnunen et al. 2007,M,v30
Luis046,California_encephalitis_virus,Microtus_oeconomus,,wild,Antibodies,0,Mitchell et al. 1993,arw,arw
Luis073,Cowpox_virus,Microtus_oeconomus,,wild,Isolation,2,Lvov et al. 1988,arw,arw
Luis177,Khabarovsk_virus,Microtus_oeconomus,,wild,PCR,2,Plyusnina et a; 2008,,v30
Luis261,Omsk_hemorrhagic_fever_virus,Microtus_oeconomus,,wild,Isolation,2,[6],,v30
Luis096,Eastern_equine_encephalitis_virus,Microtus_pennsylvanicus,,wild,Antibodies,0,Karabatsos 1985 in Day et al. 1996,,arw
Luis209,Mammalian_orthoreovirus,Microtus_pennsylvanicus,,wild,Antibodies,0,Descoteaux 1992 Rev Sci Tech,,kjo
Luis246,Murid_herpesvirus_5,Microtus_pennsylvanicus,,wild,Isolation,2,Melendez et al. 1967,,v30
KJO167,Prospect_Hill_virus,Microtus_pennsylvanicus,,wild,Isolation,2,"Lee PW, Amyx HL, Yanagihara R, Gajdusek DC, Goldgaber D, Gibbs CJ Jr. Partial characterization of Prospect Hill virus isolated from meadow voles in the United States. J Infect Dis. 1985 Oct;152(4):826-9. PubMed PMID: 3930622.",kjo,v30
F511,Sin_Nombre_virus,Microtus_pennsylvanicus,NW882,wild,Antibodies,0,Torres-Perez 2010,M,v30
Luis357,Theilovirus,Microtus_pennsylvanicus,,wild,Antibodies,0,Descoteauz & Mihok 1986,,v30
Luis372,Tula_virus,Microtus_subterraneus,,wild,PCR,2,Korva et al. 2009,,v30
F290,Dera_Ghazi_Khan_virus,Millardia_meltada,NW284,wild,Antibodies,0,Darwish et al. 1983,M,v30
Luis347,Tamana_bat_virus,Mimon_crenulatum,,wild,Antibodies,0,Price 1978,,v30
F409,Japanese_encephalitis_virus,Miniopterus_fuliginosus,NW571,wild,Antibodies,0,Cui et al. 2008,M,v30
F188,Yokose_virus,Miniopterus_fuliginosus,NW1044,wild,Antibodies,0,Tajima 2005,M,v30
Luis463,Lake_Victoria_marburgvirus,Miniopterus_inflatus,,wild,PCR,2,Swanepoel et al. 2007,,v30
F1132,Australian_bat_lyssavirus,Miniopterus_schreibersii,L58,wild,Antibodies,0,Arguin et al. 2002,M,v30
F1169,Duvenhage_virus,Miniopterus_schreibersii,L353,wild,Isolation,2,Calisher et al. 2006,M,v30
F1186,European_bat_lyssavirus_1,Miniopterus_schreibersii,L437,wild,PCR,2,Serra-Cobo et al. 2002,M,v30
F1618,European_bat_lyssavirus_2,Miniopterus_schreibersii,NA,wild,Isolation,2,Calisher et al. 2006,M,v30
F824,Japanese_encephalitis_virus,Miniopterus_schreibersii,NW572,wild,Isolation,2,Taylor et al. (EID database); Calisher et al.,,v30
F1647,Kyasanur_Forest_disease_virus,Miniopterus_schreibersii,L590,wild,Antibodies,0,Bhat et al. 1978,M,v30
F774,Rift_Valley_fever_virus,Miniopterus_schreibersii,NW790,wild,Isolation,2,Konstantinov et al. 2006 ,NA,v30
F1342,West_Caucasian_bat_virus,Miniopterus_schreibersii,L1174,wild,Isolation,2,Calisher et al. 2006,M,v30
Luis434,Yokose_virus,Miniopterus_schreibersii,,wild,Isolation,2,Calishers et al. 2006; Gonzalez et al. 2008; Tajima et al. 2005; Wong et al. 2007,,v30
F1101,Simian_immunodeficiency_virus,Miopithecus_talapoin,MP1128,wild,Isolation,2,Peeters et al. 2002,E,v30
KJO174,Southern_elephant_seal_virus,Mirounga_leonina,,wild,Antibodies,0,"La Linn M, Gardner J, Warrilow D, Darnell GA, McMahon CR, Field I, Hyatt AD ,Slade RW, Suhrbier A. Arbovirus of marine mammals: a new alphavirus isolated from the elephant seal louse, Lepidophthirus macrorhini. J Virol. 2001. May;75(9):4103-9.",kjo,v30
Luis296,Rabies_virus,Molossops_neglectus,,arw,Antibodies,0,[433],,arw
F1628,Catu_virus,Molossus_molossus,NA,wild,Isolation,2,Calisher et al. 2006,M,v30
Luis086,Dengue_virus,Molossus_molossus,,wild,Antibodies,0,Price 1978,,arw
F1638,Ilheus_virus,Molossus_molossus,NA,wild,Antibodies,0,Price et al. 1978,M,v30
Luis464,Rabies_virus,Molossus_molossus,,wild,Isolation,2,"[417, 426]",,v30
Luis315,Rio_Bravo_virus,Molossus_molossus,,wild,Antibodies,0,[364],,v30
F1303,St._Louis_encephalitis_virus,Molossus_molossus,L1006,wild,Antibodies,0,Price 1978,M,v30
F183,Yellow_fever_virus,Molossus_molossus,NW1038,wild,Antibodies,0,Price 1978,M,v30
Luis087,Dengue_virus,Molossus_rufus,,wild,Antibodies,0,Price 1978,,arw
Luis145,Ilheus_virus,Molossus_rufus,,wild,Antibodies,0,Price 1978,,v30
F1221,Manzanilla_virus,Molossus_rufus,L656,wild,Antibodies,0,Price 1978,M,v30
F1227,Mucambo_virus,Molossus_rufus,L669,wild,Antibodies,0,Price 1978,M,v30
F1282,Rabies_virus,Molossus_rufus,L905,wild,Isolation,2,Kobayashi et al. 2005,M,v30
F1299,Rio_Bravo_virus,Molossus_rufus,L965,wild,Isolation,2,Price 1978,M,v30
F1306,St._Louis_encephalitis_virus,Molossus_rufus,L1017,wild,Antibodies,0,Price 1978,M,v30
Luis348,Tamana_bat_virus,Molossus_rufus,,wild,Antibodies,0,Price 1978,,v30
