"","sourceOccurrenceId","sourceTaxonId","sourceTaxonName","sourceTaxonOrder","sourceTaxonFamily","sourceTaxonGenus","sourceBodyPartId","sourceBodyPartName","sourceLifeStageId","sourceLifeStageName","interactionTypeId","interactionTypeName","targetOccurrenceId","targetTaxonId","targetTaxonName","targetTaxonOrder","targetTaxonFamily","targetTaxonGenus","targetBodyPartId","targetBodyPartName","targetLifeStageId","targetLifeStageName","localityId","localityName","decimalLatitude","decimalLongitude","observationDateTime","referenceDoi","referenceUrl","referenceCitation"
"1505","","","Oriboca virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmosa murina","DIDELPHIMORPHIA","DIDELPHIDAE","Marmosa","","","","","","","","","","","","Shope RE, Woodall JP, and Travassos da Rosa APA (1988). The epidemiology of diseases caused by viruses in groups C and Guama (Bunyaviridae). The Arboviruses: Epidemiology and Ecology:37-52."
"1506","","","Colorado tick fever virus","Unassigned","Reoviridae","Coltivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota flaviventris","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","","Eklund CM, Kohls GM, and Jellison WL (1958). Isolation of Colorado tick fever virus from rodents in Colorado. American Association for the Advancement of Science. Science 128."
"1507","","","Powassan virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota flaviventris","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","","McLean D, Crawford M, Ladyman S, Peers R, and Purvin-Good K (1970). California encephalitis and Powassan virus activity in British Columbia, 1969. American journal of epidemiology 92:266-272."
"1508","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota flaviventris","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","","McLean DM, Ladyman SR, and Purvingo.Kw (1968). Westward extension of Powassan virus prevalence. Canadian Medical Association Journal 98:946-&."
"1509","","","Eastern equine encephalitis virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota monax","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","","Karstad L, Vadlamudi S, Hanson RP, Trainer DO, and Lee VH (1960). Eastern Equine Encephalitis Studies In Wisconsin. Journal of Infectious Diseases 106:53-59."
"1510","","","Marmodid herpesvirus 1","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota monax","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","","Buchen-Osmond C (2003). The universal virus database ICTVdB. Computing in Science & Engineering 5:16-25."
"1511","","","Powassan virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota monax","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","",NA
"1512","","","Rabies virus","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota monax","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","","Wang X, Werner BG, Konomi R, Hennigan D, Fadden D, Caten E, et al. (2009c). Animal rabies in Massachusetts, 1985-2006. Journal of wildlife diseases 45:375-387."
"1513","","","Woodchuck hepatitis virus","Unassigned","Hepadnaviridae","Orthohepadnavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Marmota monax","RODENTIA","SCIURIDAE","Marmota","","","","","","","","","","","","Summers J, Smolec JM, and Snyder R (1978). A virus similar to human hepatitis B virus associated with hepatitis and hepatoma in woodchucks. Proceedings of the National Academy of Sciences of the United States of America-Medical Sciences 75:4533-4537."
"1514","","","European bat lyssavirus 1","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Martes foina","CARNIVORA","MUSTELIDAE","Martes","","","","","","","","","","","","Muller T, Cox J, Peter W, Sch_fer R, Johnson N, McElhinney LM, et al. (2004). Spill-over of European bat lyssavirus type 1 into a stone marten (Martes foina) in Germany. Journal of veterinary medicine. 51:49-54."
"1515","","","Canine adenovirus","Unassigned","Adenoviridae","Mastadenovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Martes pennanti","CARNIVORA","MUSTELIDAE","Martes","","","","","","","","","","","","Philippa JDW, Martina BEE, Kuiken T, Van de Bildt MWG, Osterhaus aDME, Leighton Fa, et al. (2004). Antibodies to selected pathogens in free-ranging terrestrial carnivores and marine mammals in Canada. Veterinary Record 155:135-140."
"1516","","","Mustelid herpesvirus 1","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Martes pennanti","CARNIVORA","MUSTELIDAE","Martes","","","","","","","","","","","","Gagnon CA, Tremblay J, Larochelle D, Music N, Tremblay D (2011). Identification of a novel herpesvirus associated with cutaneous ulcers in a fisher (Martes pennanti). Journal of veterinary diagnostic investigation 23(5):986-90."
"1517","","","Rabies virus","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Martes pennanti","CARNIVORA","MUSTELIDAE","Martes","","","","","","","","","","","","Philippa JDW, Martina BEE, Kuiken T, Van de Bildt MWG, Osterhaus aDME, Leighton Fa, et al. (2004). Antibodies to selected pathogens in free-ranging terrestrial carnivores and marine mammals in Canada. Veterinary Record 155:135-140."
"1518","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys coucha","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Shepherd AJ, Swanepoel R, Shepherd SP, McGillivray GM, and Searle LA (1987). Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa. The American Journal of Tropical Medicine and Hygiene 36:133-142."
"1519","","","Koutango virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys erythroleucus","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Traore-Lamizana M, Fontenille D, Diallo M, Ba Y, Zeller HG, Mondo M, et al. (2001). Arbovirus surveillance from 1990 to 1995 in the Barkedji area (Ferlo) of Senegal, a possible natural focus of Rift Valley fever virus. Journal of medical entomology 38:480-492."
"1520","","","Lassa virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys erythroleucus","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"1521","","","Mobala virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys erythroleucus","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"1522","","","Qalyub virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys erythroleucus","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Rodhain F, Metselaar D, Ardoin P, Hannoun C, Shope RE, Casals J (1985). [The Omo virus: A new virus from the Qalyub group (Bunyaviridae, Nairovirus) isolated from rodents in southern Ethiopia]. Annales of the Institut Pasteur Virologie 136(3): 243-247)."
"1523","","","Rift Valley fever virus","Unassigned","Bunyaviridae","Phlebovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys erythroleucus","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Gora D, Yaya T, Jocelyn T, Didier F, Maoulouth D, Amadou S, et al. (2000). The potential role of rodents in the enzootic cycle of Rift Valley fever virus in Senegal. Microbes and Infection 2:343-346."
"1524","","","Lassa virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys huberti","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"1525","","","Mopeia virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys huberti","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"1526","","","Rift Valley fever virus","Unassigned","Bunyaviridae","Phlebovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys huberti","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Gora D, Yaya T, Jocelyn T, Didier F, Maoulouth D, Amadou S, et al. (2000). The potential role of rodents in the enzootic cycle of Rift Valley fever virus in Senegal. Microbes and Infection 2:343-346."
"1527","","","Banzi virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","McIntosh BM, Dickinson DB, Meenehan GM, and Dossantos ISL (1976). Culex-(Eumelanomyia)-Rubinotus Theobald As Vector Of Banzi, Germiston And Witwatersrand Viruses .2. Infections In Sentinel Hamsters And Wild Rodents. Journal of medical entomology 12:641-644."
"1528","","","Bluetongue virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Howerth EW, Stallknecht DE, and Kirkland PD (2001). Bluetongue, epizootic hemorrhagic disease, and other orbivirus-related diseases."
"1529","","","Chikungunya virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Konstantinov OK, Diallo SM, Inapogi AP, Ba A, and Kamara SK (2006). The mammals of Guinea as reservoirs and carriers of arboviruses. Meditsinskaia parazitologiia i parazitarnye bolezni:34-39."
"1530","","","Dugbe virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Konstantinov OK, Diallo SM, Inapogi AP, Ba A, and Kamara SK (2006). The mammals of Guinea as reservoirs and carriers of arboviruses. Meditsinskaia parazitologiia i parazitarnye bolezni:34-39."
"1531","","","Lassa virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Fichet-Calvet E, Lecompte E, Koivogui L, Soropogui B, Dore A, Kourouma F, et al. (2007). Fluctuation of abundance and Lassa virus prevalence in Mastomys natalensis in Guinea, West Africa. Vector Borne and Zoonotic Diseases 7:119-128."
"1532","","","Mastomys natalensis papillomavirus","Unassigned","Papillomaviridae","Iotapapillomavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Muller H, and Gissmann L (1978). Mastomys natalensis papilloma virus (MnPV), the causative agent of epithelial proliferations: characterization of the virus particle. J Gen Virol 41:315-323."
"1533","","","Mopeia virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Wulff H, McIntosh BM, Hamner DB, Johnson KM (1977). Isolation of an arenavirus closely related to Lassa virus from Mastomys natalensis in south-east Africa. Bulletin of the World Health Organization 55(4):441."
"1534","","","Qalyub virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","Kemp GE (1975). Viruses Other Than Arenaviruses From West-African Wild Mammals - Factors Affecting Transmission To Man And Domestic-Animals. Bulletin of the World Health Organization 52:615-620."
"1535","","","Uganda S virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","",NA
"1536","","","Witwatersrand virus","Unassigned","Bunyaviridae","Unassigned","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mastomys natalensis","RODENTIA","MURIDAE","Mastomys","","","","","","","","","","","","McIntosh BM, Dickinson DB, Meenehan GM, and Dossantos ISL (1976). Culex-(Eumelanomyia)-Rubinotus Theobald As Vector Of Banzi, Germiston And Witwatersrand Viruses .2. Infections In Sentinel Hamsters And Wild Rodents. Journal of medical entomology 12:641-644."
"1537","","","Bovine respiratory syncytial virus","Mononegavirales","Paramyxoviridae","Pneumovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mazama gouazoubira","CETARTIODACTYLA","CERVIDAE","Mazama","","","","","","","","","","","","Deem SL, Noss AJ, Villarroel R, Uhart MM, and Karesh WB (2004). Disease survey of free-ranging grey brocket deer (Mazama gouazoubira) in the Gran Chaco, Bolivia. Journal of wildlife diseases 40:92-98."
"1538","","","Influenza A virus","Unassigned","Orthomyxoviridae","Influenzavirus A","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Megaderma lyra","CHIROPTERA","MEGADERMATIDAE","Megaderma","","","","","","","","","","","","Kelkar SD, Kadam SS, and Banerjee K (1981). Hemagglutination inhibition antibodies against Influenza Virus in bats. Indian Journal of Medical Research 74:147-152."
"1539","","","Amapari virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Megadontomys nelsoni","RODENTIA","CRICETIDAE","Megadontomys","","","","","","","","","","","","Milazzo ML, Barragan-Gomez A, Hanson JD, Estrada-Franco JG, Arellano E, Gonzalez-Cozatl FX, et al. (2010). Antibodies to Tacaribe Serocomplex Viruses (Family Arenaviridae, Genus Arenavirus) in Cricetid Rodents from New Mexico, Texas, and Mexico. Vector-Borne and Zoonotic Diseases 10:629-637."
"1540","","","Whitewater Arroyo virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Megadontomys nelsoni","RODENTIA","CRICETIDAE","Megadontomys","","","","","","","","","","","","Milazzo ML, Barragan-Gomez A, Hanson JD, Estrada-Franco JG, Arellano E, Gonzalez-Cozatl FX, et al. (2010). Antibodies to Tacaribe Serocomplex Viruses (Family Arenaviridae, Genus Arenavirus) in Cricetid Rodents from New Mexico, Texas, and Mexico. Vector-Borne and Zoonotic Diseases 10:629-637."
"1541","","","Venezuelan equine encephalitis virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Melanomys caliginosus","RODENTIA","CRICETIDAE","Melanomys","","","","","","","","","","","",NA
"1542","","","Mustelid herpesvirus 1","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meles meles","CARNIVORA","MUSTELIDAE","Meles","","","","","","","","","","","","King DP, Mutukwa N, Lesellier S, Cheeseman C, Chambers MA, and Banks M (2004). Detection of mustelid herpesvirus-1 infected European badgers (Meles meles) in the British Isles. Journal of wildlife diseases 40:99-102."
"1543","","","Rabies virus","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mellivora capensis","CARNIVORA","MUSTELIDAE","Mellivora","","","","","","","","","","","","Bingham J, Javangwe S, Sabeta C, Wandeler A, and Nel L (2001). Report of isolations of unusual lyssaviruses (rabies and Mokola virus) identified retrospectively from Zimbabwe: short communication. Journal of the South African Veterinary Association 72:92-94."
"1544","","","Severe acute respiratory syndrome-related coronavirus","Nidovirales","Coronaviridae","Betacoronavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Melogale moschata","CARNIVORA","MUSTELIDAE","Melogale","","","","","","","","","","","","Tu C, Xia X, Liu S, Wangt L-f, and Study T (2004). Antibodies to SARS Coronavirus. Emerging infectious diseases 10:2244-2249."
"1545","","","Influenza A virus","Unassigned","Orthomyxoviridae","Influenzavirus A","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mephitis mephitis","CARNIVORA","MEPHITIDAE","Mephitis","","","","","","","","","","","","Britton AP, Sojonky K, Scouras AP, and Bidulka JJ (2010). Pandemic (H1N1) 2009 in skunks, Canada. Emerging infectious diseases 16:1043-1045."
"1546","","","Rabies virus","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mephitis mephitis","CARNIVORA","MEPHITIDAE","Mephitis","","","","","","","","","","","","Nadin-Davis S, Casey G, and Wandeler A (1993). Identification of regional variants of the rabies virus within the Canadian province of Ontario. Journal of General Virology 74:829-837."
"1547","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mephitis mephitis","CARNIVORA","MEPHITIDAE","Mephitis","","","","","","","","","","","","Artsob H, Spence L, Th'ng C, Lampotang V, Johnson D, MacInnes C, et al. (1986). Arbovirus infections in several Ontario mammals, 1975-1980. Canadian Journal of Veterinary Research 56:42-46."
"1548","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mephitis mephitis","CARNIVORA","MEPHITIDAE","Mephitis","","","","","","","","","","","","Aguirre AA, Mclean RG, Cook RS, and Quan TJ (1992). Serologic survey for selected arboviruses and other potential pathogens in wildlife from Mexico. Journal of Wildlife Diseases 28:435-442."
"1549","","","Western equine encephalitis virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mephitis mephitis","CARNIVORA","MEPHITIDAE","Mephitis","","","","","","","","","","","","Hardy JL (1987). The ecology of western equine encephalomyelitis virus in the Central Valley of California, 1945-1985. The American journal of tropical medicine and hygiene 37:18S-32S."
"1550","","","Bakau virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meriones hurrianae","RODENTIA","MURIDAE","Meriones","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"1551","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meriones hurrianae","RODENTIA","MURIDAE","Meriones","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"1552","","","Dera Ghazi Khan virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meriones hurrianae","RODENTIA","MURIDAE","Meriones","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"1553","","","Dhori virus","Unassigned","Orthomyxoviridae","Thogotovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meriones hurrianae","RODENTIA","MURIDAE","Meriones","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"1554","","","Salehabad virus","Unassigned","Bunyaviridae","Phlebovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meriones hurrianae","RODENTIA","MURIDAE","Meriones","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"1555","","","Wad Medani virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meriones hurrianae","RODENTIA","MURIDAE","Meriones","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"1556","","","Cowpox virus","Unassigned","Poxviridae","Orthopoxvirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Meriones libycus","RODENTIA","MURIDAE","Meriones","","","","","","","","","","","","Tsanava, Sh A, Marennikova, SS, Sakvarelidze, LA, Shelukhina, EM, Yanova, NN (1989). Isolation of cowpox virus from jirds, Meriones libycus. Voprosy virusologii 34(1):95-97."
"1557","","","Cricetid herpesvirus","Herpesvirales","Herpesviridae","Ictalurivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","","Tomita Y, and Jonas A (1968). Two viral agents isolated from hamsters with a form of regional enteritis A: a preliminary report. American journal of veterinary research 29:445-&."
"1558","","","Hamster oral papillomavirus","Unassigned","Papillomaviridae","Pipapillomavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","","Iwasaki T, Maeda H, Kameyama Y, Moriyama M, Kanai S, and Kurata T (1997). Presence of a novel hamster oral papillomavirus in dysplastic lesions of hamster lingual mucosa induced by application of dimethylbenzanthracene and excisional wounding: Molecular cloning and complete nucleotide sequence. Journal of General Virology 78:1087-1093."
"1559","","","Hamster parvovirus","Unassigned","Parvoviridae","Parvovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","","Besselsen DG, Gibson SV, Besch-Williford CL, Purdy GA, Knowles RL, Wagner JE, Pintel DJ, Franklin CL, Hook RR, and Riley LK. (1999). Natural and experimentally induced infection of syrian hamsters with a newly recognized parvovirus. Laboratory animal science 49:308-312."
"1560","","","Hamster polyomavirus","Unassigned","Polyomaviridae","Polyomavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","","Simmons JH, Riley LK, Franklin CL, and Besch-Williford CL (2001). Hamster polyomavirus infection in a pet Syrian hamster (Mesocricetus auratus). Veterinary Pathology 38:441-446."
"1561","","","Lymphocytic choriomeningitis virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","",NA
"1562","","","Minatitlan virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","","Mahy BWJ (2009). The Dictionary of Virology.510."
"1563","","","Mobala virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"1564","","","Sendai virus","Mononegavirales","Paramyxoviridae","Respirovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mesocricetus auratus","RODENTIA","CRICETIDAE","Mesocricetus","","","","","","","","","","","","Profeta ML, Lief FS, and Plotkin SA (1969). Enzootic Sendai Infection In Laboratory Hamsters. American journal of epidemiology 89:316-&."
"1565","","","Oriboca virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Metachirus nudicaudatus","DIDELPHIMORPHIA","DIDELPHIDAE","Metachirus","","","","","","","","","","","","Shope RE, Woodall JP, and Travassos da Rosa APA (1988). The epidemiology of diseases caused by viruses in groups C and Guama (Bunyaviridae). The Arboviruses: Epidemiology and Ecology:37-52."
"1566","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Metachirus nudicaudatus","DIDELPHIMORPHIA","DIDELPHIDAE","Metachirus","","","","","","","","","","","","Tesh RB, Peralta PH, and Johnson KM (1969). Ecologic studies of vesicular stomatitis virus. I. Prevalence of infection among animals and humans living in an area of endemic VSV activity. American journal of epidemiology 90:255-261."
"1567","","","Mayaro virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mico leucippe","PRIMATES","CALLITRICHIDAE","Mico","","","","","","","","","","","","Hoch AL, Peterson NE, LeDuc JW, and Pinheiro FP (1981). An outbreak of Mayaro virus disease in Belterra, Brazil. American Journal of Tropical Medicine and Hygiene 2008 30:689-698."
"1568","","","Yellow fever virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Mico leucippe","PRIMATES","CALLITRICHIDAE","Mico","","","","","","","","","","","","Hoch AL, Peterson NE, LeDuc JW, and Pinheiro FP (1981). An outbreak of Mayaro virus disease in Belterra, Brazil. American Journal of Tropical Medicine and Hygiene 2008 30:689-698."
"1569","","","Lymphocytic choriomeningitis virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Micromys minutus","RODENTIA","MURIDAE","Micromys","","","","","","","","","","","","Tagliapietra V, Rosa R, Hauffe HC, Laakkonen J, Voutilainen L, Vapalahti O, et al. (2009). Spatial and Temporal Dynamics of Lymphocytic Choriomeningitis Virus in Wild Rodents, Northern Italy. Emerging infectious diseases 15:1019-1025."
"1570","","","Rabies virus","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Micronycteris megalotis","CHIROPTERA","PHYLLOSTOMIDAE","Micronycteris","","","","","","","","","","","","Salas-Rojas M, Sanchez-Hernandez C, Romero-Almaraz ML, Schnell G, Schmid R, and Aguilar-Seti_n A (2004). Prevalence of rabies and LPM paramyxovirus antibody in non-hematophagous bats captured in the central pacific coast of Mexico. Transactions of the Royal Society of Tropical Medicine and Hygiene 98:577-584."
